Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2020,25.2,32.0,27.0,82.0,16.5,6.5,7,300,3,W 
02-01-2020,25.6,31.0,27.9,78.0,5.2,3.5,8,270,4,W 
03-01-2020,25.3,31.5,27.6,82.0,1.5,5.9,10,280,6,W 
04-01-2020,26.5,30.5,27.9,77.0,1.7,4.6,12,260,8,W 
05-01-2020,25.6,31.3,28.6,81.0,8.1,8,260,6,W 
06-01-2020,25.5,30.6,27.8,80.0,7.5,6.6,7,260,6,W 
07-01-2020,26.4,30.6,28.3,79.0,6.2,5.0,7,290,6,W 
08-01-2020,26.3,31.1,29.0,76.0,1.6,6.8,7,290,5,W 
09-01-2020,26.8,31.2,28.7,76.0,8888.0,8.5,9,300,4,W 
10-01-2020,26.5,31.0,28.7,72.0,0.0,6,260,4,W 
11-01-2020,27.0,31.4,27.9,82.0,8888.0,12.3,9,280,6,W 
12-01-2020,23.8,30.8,28.7,76.0,35.4,5.8,10,280,9,W 
13-01-2020,24.5,31.2,28.0,79.0,13.7,8.4,9,260,6,W 
14-01-2020,25.2,32.0,28.9,75.0,8888.0,8.7,5,250,2,E 
15-01-2020,26.8,32.5,28.7,78.0,0.0,10.0,5,250,2,SW
16-01-2020,25.9,32.0,28.5,78.0,4.8,8.6,6,270,3,W 
17-01-2020,24.0,31.0,28.3,79.0,12.9,11.2,5,250,3,W 
18-01-2020,25.6,30.8,28.6,74.0,0.0,12.0,5,280,3,W 
19-01-2020,26.8,31.2,29.2,72.0,0.8,12.1,6,260,3,W 
20-01-2020,25.2,31.2,0.0,10.9,6,260,4,W 
21-01-2020,31.9,29.3,75.0,0.0,12.3,5,300,4,W 
22-01-2020,27.0,32.0,29.7,71.0,0.0,7.2,6,250,2,W 
23-01-2020,26.2,32.6,29.3,77.0,12.2,11.3,5,250,2,W 
24-01-2020,26.0,32.4,29.2,73.0,0.0,12.0,4,120,2,E 
25-01-2020,25.8,32.9,29.5,73.0,8888.0,11.1,4,90,2,E 
26-01-2020,26.6,32.6,29.3,74.0,0.0,5,260,2,NE
27-01-2020,26.6,32.8,29.3,73.0,8.2,4,90,2,E 
28-01-2020,26.8,33.6,29.3,76.0,0.0,8.1,4,90,2,E 
29-01-2020,26.5,32.8,29.6,77.0,7.8,7,300,3,NW
30-01-2020,26.0,30.7,27.0,88.0,7.1,11.8,8,250,4,NW
